"Part";"Value";"Device";"Package";"Description";"";
"++";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";
"++2";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";
"--";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";
"C1";"1uf";"THRU-HOLE-POLARIZED";"PC-D5.3MM";"302030033";"";
"C2";"1uf";"THRU-HOLE-POLARIZED";"PC-D5.3MM";"302030033";"";
"C3";"25pf";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C4";"200n / 1uf";"THRU_HOLE_5MM_SPACING";"CERAMIC-5MM";"302010202";"";
"C5";"200n";"THRU_HOLE_5MM_SPACING";"CERAMIC-5MM";"302010202";"";
"C6";"1uf";"THRU-HOLE-POLARIZED";"PC-D5.3MM";"302030033";"";
"C7";"100uf";"THRU-HOLE-POLARIZED";"PC-D5.3MM";"302030033";"";
"C8";"47n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C9";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C10";"2.2uf";"THRU-HOLE-POLARIZED";"PC-D5.3MM";"302030033";"";
"C11";"22uf";"THRU-HOLE-POLARIZED";"PC-D5.3MM";"302030033";"";
"C12";"22pF";"22PF-0603-50V-5%";"0603";"22pF ceramic capacitors";"";
"C13";"22pF";"22PF-0603-50V-5%";"0603";"22pF ceramic capacitors";"";
"C14";"22pF";"22PF-PTH-2.54MM-200V-5%";"CAP-PTH-2.54";"22pF ceramic capacitors";"";
"C16";"cpl";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C17";"cpl";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C18";"cpl";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C19";"cpl";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C20";"22pF";"22PF-PTH-2.54MM-200V-5%";"CAP-PTH-2.54";"22pF ceramic capacitors";"";
"C21";"22pF";"22PF-PTH-2.54MM-200V-5%";"CAP-PTH-2.54";"22pF ceramic capacitors";"";
"C22";"22pF";"22PF-0603-50V-5%";"0603";"22pF ceramic capacitors";"";
"C23";"10UF";"THRU-HOLE-POLARIZED";"PC-D5.3MM";"302030033";"";
"C32";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C33";"4.7uf";"THRU-HOLE-POLARIZED";"PC-D5.3MM";"302030033";"";
"C34";"4.7uf";"THRU-HOLE-POLARIZED";"PC-D5.3MM";"302030033";"";
"C35";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"D1";"1N4004";"1N400X.1";"DO41-1";"Rectifier Diodes";"";
"D2";"1n5817";"SCHOTTKY-DIODESMD";"SMB";"Schottky Diode";"";
"D3";"1n4001_smd";"1N400X.1";"DO41-1";"Rectifier Diodes";"";
"D4";"1n4001_smd";"1N400X.1";"DO41-1";"Rectifier Diodes";"";
"D5";"";"LED3MM";"LED_3MM";"LED (Generic)";"";
"D6";"";"LED3MM";"LED_3MM";"LED (Generic)";"";
"D7";"";"LED3MM";"LED_3MM";"LED (Generic)";"";
"D8";"";"LED3MM";"LED_3MM";"LED (Generic)";"";
"DEPTH";"";"POT";"ALPS_POT";"";"";
"DIST_TRIM";"50K";"TRIM_US-3223G";"3223G";"POTENTIOMETER";"";
"H1";"MOUNT-HOLE2.8";"MOUNT-HOLE2.8";"2,8";"MOUNTING HOLE with drill center marker";"";
"H2";"MOUNT-HOLE2.8";"MOUNT-HOLE2.8";"2,8";"MOUNTING HOLE with drill center marker";"";
"IC1";"MCP4921-SOIC";"MCP4921-SOIC";"SOIC-8";"Digital-to-Analog Converter";"";
"IC2";"OPAMP-DUALU";"OPAMP-DUALU";"SO08";"Generic op-amp footprint";"";
"IN_JACK";"MMMONNNNOHOLES";"MMMONNNNOHOLES";"MONONOHOLES";"";"";
"J1";"";"CONN_06NO_SILK_FEMALE_PTH";"1X06_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"J2";"";"CONN_02PTH3";"1X02_LONGPADS";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
